MatchHistory,TeamColor,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70,Blue,Rumble,Kassadin,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f,Blue,Irelia,Ahri,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940,Blue,Kalista,Annie,Blitzcrank,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906,Blue,Ahri,Irelia,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7,Blue,Kassadin,JarvanIV,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c,Blue,Thresh,Irelia,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3,Blue,Zed,Janna,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a,Blue,Rumble,Leblanc,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410,Blue,Vi,Lissandra,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2,Blue,LeeSin,Nidalee,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3,Blue,Lissandra,Rumble,Morgana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3,Blue,Annie,Janna,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146,Blue,Ahri,Leblanc,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227,Blue,Kalista,Nidalee,Rumble,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44,Blue,Irelia,Kassadin,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425,Blue,Xerath,Leblanc,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec,Blue,Nidalee,Ahri,Leblanc,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006,Blue,Irelia,Nidalee,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e,Blue,Kalista,Zed,Ahri,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a,Blue,Vi,Zed,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc,Blue,Morgana,Kassadin,Kennen,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9,Blue,Kalista,Nidalee,Lissandra,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396,Blue,Irelia,Morgana,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b,Blue,Morgana,Nidalee,Cassiopeia,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113,Blue,Kalista,Maokai,Zed,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d,Blue,Rumble,Morgana,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19,Blue,Nidalee,Morgana,Rumble,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040080?gameHash=396617cc71cbceda,Blue,Maokai,JarvanIV,Kassadin,,
