iter	Logloss
197	0.385744899
198	0.3856466624
199	0.3854960259
200	0.3853094643
201	0.3851413701
202	0.3849718959
203	0.3848218378
204	0.3846058094
205	0.3844685988
206	0.3842843795
207	0.3840875588
208	0.3839823132
209	0.3838805405
210	0.383731651
211	0.3836369434
212	0.3835117682
213	0.3833684281
214	0.3831595909
215	0.3829816184
216	0.3828105053
217	0.3826402926
218	0.382550786
219	0.3823528259
220	0.3822079471
221	0.3820724373
222	0.381907944
223	0.3818719689
224	0.3818029303
225	0.3815557124
226	0.3814117219
227	0.3811898102
228	0.3810874179
229	0.3809181406
230	0.3808197039
231	0.3806690598
232	0.3804574661
233	0.3803435973
234	0.3802131757
235	0.3801332603
236	0.3800183101
237	0.3798677479
238	0.379733671
239	0.3796268587
240	0.3794885374
241	0.3793470697
242	0.3792395507
243	0.3790665796
244	0.378954568
245	0.3788667623
246	0.3787242071
247	0.3784988606
248	0.3783487382
249	0.3782927119
250	0.3782042595
251	0.3780788482
252	0.377984693
253	0.3778875322
254	0.3776821375
255	0.3775667218
256	0.3774023555
257	0.377222609
258	0.3770871902
259	0.3770059049
260	0.3768879508
261	0.3767111027
262	0.376630879
263	0.3764524479
264	0.3763311113
265	0.3762213046
266	0.376131162
267	0.3759617121
268	0.375867658
269	0.3757362223
270	0.3755940657
271	0.3754752517
272	0.3753996083
273	0.3751568919
274	0.3750880172
275	0.3750020534
276	0.3749488956
277	0.3748820629
278	0.3747050102
279	0.374619405
280	0.374415305
281	0.3742691066
282	0.3741190427
283	0.3740516867
284	0.3739137599
285	0.3737915377
286	0.3736420855
287	0.3734788438
288	0.3733301358
289	0.3731881335
290	0.3731057921
291	0.3729990267
292	0.3728811954
293	0.3727656114
294	0.3726787228
295	0.3725355916
296	0.3723321141
297	0.3721905908
298	0.3720858705
299	0.3720185807
300	0.3718635251
301	0.3717376037
302	0.3715706305
303	0.3714734434
304	0.3713094988
305	0.3711943202
306	0.3710420125
307	0.3709638265
308	0.3708799899
309	0.3707404146
310	0.3706159274
311	0.3705488695
312	0.3704821597
313	0.3703553015
314	0.3702283228
315	0.3700627391
316	0.3699967185
317	0.3699119018
318	0.3697589121
319	0.3697136839
320	0.3696575719
321	0.3695669724
322	0.3694384642
323	0.3693271411
324	0.3692259237
325	0.3690672913
326	0.368893052
327	0.3688067775
328	0.3685961518
329	0.3684281035
330	0.36830412
331	0.3682282951
332	0.3680983396
333	0.3680418776
334	0.3679868098
335	0.3678050413
336	0.3678001215
337	0.3676692957
338	0.3675932002
339	0.3674474918
340	0.3673763602
341	0.3671967565
342	0.3671273018
343	0.3670651568
344	0.3669375528
345	0.3668354257
346	0.3668085008
347	0.3666891556
348	0.3665727524
349	0.3663605233
350	0.3661356687
351	0.3660007006
352	0.365915823
353	0.3658501955
354	0.3657468461
355	0.3656146949
356	0.3654604285
357	0.3653312515
358	0.3652293214
359	0.3651454006
360	0.3649616588
361	0.3647891434
362	0.3647168112
363	0.3645779786
364	0.3644658179
365	0.3643696884
366	0.3642418523
367	0.3641654301
368	0.3638810629
369	0.3637665062
370	0.3635307847
371	0.3633642365
372	0.3632306148
373	0.363081895
374	0.3630135653
375	0.3629331551
376	0.3627673042
377	0.3626682152
378	0.3625528166
379	0.3624542199
380	0.3623082926
381	0.3621933134
382	0.3621342796
383	0.3619491339
384	0.3618543894
385	0.3616940466
386	0.3615454945
387	0.3613943249
388	0.3613557974
389	0.3612771273
390	0.3611717195
391	0.3610770736
392	0.3608998098
393	0.3608798543
394	0.3606933218
395	0.3605236352
396	0.3604337369
397	0.3603565748
398	0.360257839
399	0.3602160171
400	0.3601380915
401	0.3599480021
402	0.3598746814
403	0.3597927287
404	0.3596541045
405	0.359508799
406	0.3593639923
407	0.3593628759
408	0.3592573704
409	0.3591631607
410	0.3590729524
411	0.3589472941
412	0.3587395304
413	0.3586745738
414	0.3585277859
415	0.3583463129
416	0.3581795329
417	0.3580359491
418	0.3579271267
419	0.3578464648
420	0.357729062
421	0.3575979621
422	0.3575010438
423	0.3573299719
424	0.357245475
425	0.3571654116
426	0.3571121917
427	0.3569976783
428	0.3567923937
429	0.3566674567
430	0.3564851384
431	0.3563300075
432	0.3561808183
433	0.35604905
434	0.3559454391
435	0.3558512244
436	0.3557445151
437	0.3556042422
438	0.3554907148
439	0.3554206986
440	0.3553201947
441	0.3551674347
442	0.3549991034
443	0.3549399592
444	0.3548025766
445	0.3547466347
446	0.3545989905
447	0.3545027083
448	0.3544066986
449	0.3543129229
450	0.3542061932
451	0.3540904707
452	0.3539830289
453	0.3538667498
454	0.353754993
455	0.353686664
456	0.3536136249
457	0.3535074201
458	0.3533880091
459	0.3531907197
460	0.353086424
461	0.352993059
462	0.3528691398
463	0.3527400173
464	0.352624501
465	0.3525416976
466	0.3524349297
467	0.3522870413
468	0.352201177
469	0.3521005218
470	0.3519807503
471	0.3518887416
472	0.3517819823
473	0.3515935444
474	0.3514894945
475	0.35140532
476	0.3513156921
477	0.3512018974
478	0.3510545071
479	0.3509849987
480	0.3508773061
481	0.3507877753
482	0.3506664888
483	0.3505511856
484	0.3504498016
485	0.3503461173
486	0.3502697221
487	0.3501675451
488	0.3501176031
489	0.3499918874
490	0.3498399331
491	0.3497222846
492	0.3496239889
493	0.3495728209
494	0.3494854024
495	0.3493394807
496	0.3492373312
497	0.3491468163
498	0.349079608
499	0.3490112796
500	0.3489204965
501	0.3487648021
502	0.3486573392
503	0.3485899224
504	0.348519918
505	0.3483906401
506	0.3482980294
507	0.3482360276
508	0.3481463448
509	0.3479573268
510	0.3478265017
511	0.3477626243
512	0.3476820264
513	0.3476008515
514	0.3474780824
515	0.3473359943
516	0.3472725645
517	0.3472202548
518	0.3471287075
519	0.3470531898
520	0.3468745233
521	0.3467830364
522	0.3466896892
523	0.3466096611
524	0.3464391783
525	0.3463096404
526	0.3461754705
527	0.3460435483
528	0.3459562999
529	0.3458501405
530	0.3457681615
531	0.3456491706
532	0.3455691952
533	0.3455064504
534	0.3454220376
535	0.3452923598
536	0.3452325467
537	0.3451373823
538	0.3449659322
539	0.3448048659
540	0.3446685714
541	0.3445547731
542	0.3444734925
543	0.3443314772
544	0.3442729219
545	0.3442282378
546	0.3441451928
547	0.3440375139
548	0.3439162234
549	0.3438615299
550	0.343747938
551	0.3436535317
552	0.343551456
553	0.3434094652
554	0.3433059025
555	0.3432388682
556	0.3431561553
557	0.3431031908
558	0.3429793317
559	0.3428983169
560	0.3428258628
561	0.342691552
562	0.3426112696
563	0.3425021027
564	0.3424282356
565	0.3423737424
566	0.342297326
567	0.3421446284
568	0.3419895338
569	0.3419343459
570	0.3417747281
571	0.341703589
572	0.3416321905
573	0.341538771
574	0.3413812012
575	0.3413126235
576	0.3412607363
577	0.3411909651
578	0.3410567889
579	0.3409131075
580	0.3407743809
581	0.3406728713
582	0.3406160671
583	0.3405162147
584	0.3404312278
585	0.340357346
586	0.3402186873
587	0.3401392984
588	0.3400157249
589	0.3399289533
590	0.3398879861
591	0.3398073692
592	0.3396974929
593	0.339652071
594	0.3395832907
595	0.3394359868
596	0.3392868651
597	0.3392020838
598	0.3390917154
599	0.3389117883
600	0.3388659577
601	0.3387930021
602	0.338700251
603	0.3386275185
604	0.3385620651
605	0.3384813951
606	0.3383719767
607	0.338319967
608	0.3382176491
609	0.3380448853
610	0.3379907701
611	0.3379234595
612	0.3378003516
613	0.3376738361
614	0.3376153832
615	0.3375705657
616	0.3374395443
617	0.3373742398
618	0.3372400628
619	0.3371141409
620	0.3369994643
621	0.3369480183
622	0.3368272839
623	0.3366854753
624	0.3365621541
625	0.3364600398
626	0.336325907
627	0.3361844214
628	0.3360547002
629	0.3360327933
630	0.3359449249
631	0.3358082727
632	0.3356680382
633	0.3355781168
634	0.3355242201
635	0.3354256346
636	0.3353309553
637	0.3352110995
638	0.3350825441
639	0.3349843849
640	0.3349202845
641	0.3347835897
642	0.3346533653
643	0.3345159485
644	0.3344314866
645	0.3343716251
646	0.3342992915
647	0.334213049
648	0.3340785429
649	0.3339588456
650	0.3338966466
651	0.3337779445
652	0.3336769163
653	0.3335110744
654	0.3334034776
655	0.3332892902
656	0.3332431744
657	0.3331900423
658	0.333074804
659	0.3329517709
660	0.3329064469
661	0.3328369089
662	0.332713154
663	0.3326039485
664	0.3324450496
665	0.3323682388
666	0.3323172057
667	0.3322079668
668	0.3320916597
669	0.3320437936
670	0.3319097079
671	0.3318140514
672	0.3317135156
673	0.3316213039
674	0.3315082822
675	0.3314233959
676	0.3313077071
677	0.3311967668
678	0.3311602294
679	0.3310485838
680	0.3309005062
681	0.3308393359
682	0.3307284169
683	0.3306922819
684	0.3306469986
685	0.3305261987
686	0.3304056541
687	0.3303385273
688	0.3302586217
689	0.3302230373
690	0.3301646038
691	0.3300633113
692	0.3299643732
693	0.3298677255
694	0.3297879492
695	0.3296328287
696	0.3295398267
697	0.3294754795
698	0.3294094229
699	0.3293237027
700	0.3292441493
701	0.3291336427
702	0.3290144603
703	0.3289385923
704	0.3288445348
705	0.3287675684
706	0.3286538885
707	0.3285058186
708	0.3283877737
709	0.3283390964
710	0.3282526032
711	0.3281042489
712	0.3280017814
713	0.3279065456
714	0.3278154141
715	0.327715453
716	0.3276534117
717	0.3275384513
718	0.3274469502
719	0.3273487205
720	0.3272795808
721	0.3271863722
722	0.3270975806
723	0.3269971566
724	0.3269257143
725	0.3268904131
726	0.3267799201
727	0.3266940244
728	0.3266060452
729	0.3264917745
730	0.3264346593
731	0.3262980624
732	0.3261929031
733	0.326123642
734	0.3259803623
735	0.3258843305
736	0.3257823251
737	0.325684936
738	0.3256416544
739	0.3255820244
740	0.3254395354
741	0.3254065877
742	0.3253337118
743	0.3251811486
744	0.3250668597
745	0.3249987613
746	0.324893432
747	0.324766022
748	0.3246275927
749	0.3245641203
750	0.3244644646
751	0.3243406415
752	0.3242603055
753	0.3241185535
754	0.3239555079
755	0.3239238098
756	0.3237922035
757	0.3236931124
758	0.3236108566
759	0.3234852397
760	0.3233956951
761	0.3233150339
762	0.3232083908
763	0.323113182
764	0.3229623677
765	0.3228891788
766	0.3227890799
767	0.3227208459
768	0.322655737
769	0.3225443188
770	0.3224865422
771	0.3223786343
772	0.3223119438
773	0.3221889879
774	0.322055891
775	0.3219622817
776	0.3218786403
777	0.3218222704
778	0.3217328578
779	0.3216572601
780	0.3215889137
781	0.3215311742
782	0.3214725786
783	0.3213841667
784	0.3213311406
785	0.3212300501
786	0.3211573968
787	0.3210385076
788	0.320942335
789	0.3209142493
790	0.320840185
791	0.320727216
792	0.3205841735
793	0.3204783934
794	0.3204328132
795	0.3203730907
796	0.3202295585
797	0.3201604817
798	0.3200553468
799	0.3199262008
800	0.3198800763
801	0.3198303227
802	0.3197596619
803	0.3197077758
804	0.3195993464
805	0.3195140791
806	0.3194536392
807	0.3193974044
808	0.3192678317
809	0.3191844393
810	0.3191413669
811	0.3190257457
812	0.3189255287
813	0.3188454207
814	0.3187099502
815	0.3186428763
816	0.3185890065
817	0.3185000588
818	0.3184353186
819	0.3183342085
820	0.3182447689
821	0.318153256
822	0.3180882401
823	0.3180077433
824	0.3179215609
825	0.3178112329
826	0.3177257853
827	0.3176141637
828	0.3175160447
829	0.3174268712
830	0.3172879648
831	0.317251185
832	0.3172115884
833	0.317095629
834	0.317046827
835	0.3169943705
836	0.3169092897
837	0.3168629576
838	0.3167817385
839	0.3167013794
840	0.3166384194
841	0.3165180504
842	0.3164208553
843	0.3162869436
844	0.316216522
845	0.3161564433
846	0.3161153974
847	0.3159756961
848	0.315891219
849	0.315824313
850	0.3157417528
851	0.3157016272
852	0.3155739823
853	0.3155123082
854	0.3154625738
855	0.3153492339
856	0.3152852895
857	0.3152012462
858	0.3151492946
859	0.315033347
860	0.314918696
861	0.3148581227
862	0.3147646006
863	0.3147056394
864	0.3146505288
865	0.3145374069
866	0.3144921341
867	0.3144091162
868	0.3143123023
869	0.3141816298
870	0.3140738898
871	0.313991162
872	0.3138795169
873	0.313772583
874	0.3137122528
875	0.3136357254
876	0.3135102533
877	0.3134484434
878	0.3133956572
879	0.31334199
880	0.3132448641
881	0.3131471531
882	0.3130932277
883	0.3130129346
884	0.3129171274
885	0.3128147074
886	0.3127163643
887	0.3126072502
888	0.3125186443
889	0.3124491499
890	0.3123392982
891	0.3122543102
892	0.312150393
893	0.3120353845
894	0.3119328222
895	0.3118900529
896	0.3118024646
897	0.3116691967
898	0.3115595738
899	0.3114612597
900	0.3114090052
901	0.3113502699
902	0.3112662841
903	0.3112142719
904	0.3111209517
905	0.311039664
906	0.3109005852
907	0.3107762913
908	0.3107031773
909	0.310645049
910	0.3105683149
911	0.3104872218
912	0.3104154481
913	0.3103164563
914	0.3102152034
915	0.3101305714
916	0.3100362045
917	0.309958483
918	0.3098724237
919	0.309825614
920	0.3097751063
921	0.3096853285
922	0.3096410996
923	0.3095956344
924	0.3094854363
925	0.3093525444
926	0.3092939055
927	0.3091766265
928	0.3091035646
929	0.3090722312
930	0.3090385937
931	0.3089674586
932	0.3089018438
933	0.3088528231
934	0.3087083622
935	0.308607168
936	0.3085717935
937	0.3085030986
938	0.3084080768
939	0.308279843
940	0.3081901224
941	0.3081106034
942	0.3079836046
943	0.3079255098
944	0.3078760842
945	0.3078275084
946	0.3077733365
947	0.3076497699
948	0.3075475007
949	0.3075016842
950	0.3074501464
951	0.3073715619
952	0.3072995424
953	0.307191917
954	0.3071444532
955	0.3070366575
956	0.3069275956
957	0.3068575162
958	0.3067906078
959	0.3067364844
960	0.3066489921
961	0.3065734881
962	0.3064978533
963	0.3064427825
964	0.3063718598
965	0.3062820559
966	0.3062184262
967	0.3061566181
968	0.3061033553
969	0.306041537
970	0.3060075236
971	0.3059138627
972	0.3058219575
973	0.3057313321
974	0.3056615749
975	0.3055504388
976	0.305494346
977	0.3054403136
978	0.3053641242
979	0.3052901932
980	0.3052308589
981	0.3051778911
982	0.3051329665
983	0.3050448234
984	0.3049596963
985	0.3048371402
986	0.3047483991
987	0.3046725742
988	0.3045991193
989	0.3045542871
990	0.3044496404
991	0.3043332856
992	0.3042511922
993	0.30419884
994	0.3041608172
995	0.3040962125
996	0.3040394351
997	0.3039578041
998	0.3039144909
999	0.3038380465
