iter	Passed	Remaining
429	1717	2276
430	1721	2272
431	1724	2267
432	1728	2263
433	1732	2259
434	1736	2255
435	1739	2250
436	1743	2246
437	1747	2241
438	1751	2238
439	1755	2233
440	1758	2229
441	1762	2224
442	1766	2221
443	1770	2216
444	1774	2213
445	1778	2208
446	1782	2205
447	1786	2201
448	1790	2197
449	1794	2193
450	1798	2189
451	1802	2185
452	1805	2180
453	1809	2176
454	1813	2172
455	1817	2168
456	1821	2163
457	1824	2159
458	1828	2155
459	1832	2151
460	1836	2147
461	1840	2143
462	1844	2139
463	1848	2135
464	1852	2130
465	1855	2126
466	1859	2122
467	1864	2118
468	1867	2114
469	1871	2110
470	1875	2106
471	1879	2102
472	1883	2098
473	1887	2094
474	1891	2090
475	1895	2086
476	1899	2082
477	1903	2078
478	1907	2074
479	1911	2070
480	1915	2067
481	1919	2063
482	1923	2059
483	1927	2055
484	1931	2051
485	1935	2047
486	1939	2043
487	1943	2039
488	1947	2034
489	1950	2030
490	1954	2026
491	1958	2022
492	1962	2018
493	1966	2014
494	1970	2009
495	1974	2005
496	1977	2001
497	1981	1997
498	1984	1992
499	1988	1988
500	1992	1984
501	1995	1980
502	1999	1976
503	2003	1972
504	2007	1967
505	2011	1963
506	2015	1959
507	2018	1955
508	2022	1951
509	2026	1946
510	2030	1942
511	2033	1938
512	2038	1935
513	2043	1932
514	2047	1928
515	2051	1924
516	2055	1919
517	2058	1915
518	2062	1911
519	2066	1907
520	2070	1903
521	2074	1899
522	2078	1895
523	2082	1891
524	2086	1888
525	2090	1883
526	2094	1879
527	2098	1875
528	2102	1871
529	2106	1867
530	2109	1863
531	2113	1859
532	2117	1855
533	2121	1851
534	2125	1847
535	2128	1843
536	2132	1839
537	2136	1834
538	2140	1830
539	2144	1826
540	2148	1823
541	2152	1818
542	2156	1814
543	2159	1810
544	2163	1806
545	2167	1802
546	2170	1797
547	2174	1793
548	2178	1789
549	2182	1785
550	2186	1781
551	2189	1777
552	2193	1773
553	2197	1769
554	2201	1765
555	2205	1761
556	2209	1756
557	2213	1753
558	2217	1749
559	2221	1745
560	2225	1741
561	2230	1738
562	2234	1734
563	2237	1730
564	2242	1726
565	2246	1722
566	2250	1718
567	2253	1714
568	2257	1709
569	2261	1706
570	2265	1701
571	2268	1697
572	2272	1693
573	2276	1689
574	2280	1685
575	2284	1681
576	2287	1677
577	2291	1672
578	2295	1669
579	2299	1664
580	2302	1660
581	2306	1656
582	2311	1652
583	2314	1648
584	2318	1644
585	2322	1640
586	2326	1637
587	2331	1633
588	2335	1629
589	2340	1626
590	2344	1622
591	2348	1618
592	2352	1614
593	2356	1610
594	2360	1606
595	2363	1602
596	2367	1598
597	2371	1593
598	2375	1590
599	2378	1585
600	2382	1581
601	2386	1577
602	2390	1573
603	2393	1569
604	2397	1565
605	2401	1561
606	2405	1557
607	2409	1553
608	2412	1549
609	2416	1544
610	2420	1540
611	2424	1536
612	2428	1533
613	2432	1529
614	2436	1525
615	2439	1521
616	2443	1517
617	2447	1513
618	2452	1509
619	2455	1505
620	2459	1501
621	2463	1497
622	2467	1492
623	2471	1489
624	2475	1485
625	2479	1481
626	2483	1477
627	2487	1473
628	2491	1469
629	2494	1465
630	2498	1461
631	2502	1457
632	2506	1453
633	2510	1449
634	2514	1445
635	2518	1441
636	2522	1437
637	2525	1433
638	2529	1429
639	2534	1425
640	2537	1421
641	2541	1417
642	2545	1413
643	2549	1409
644	2553	1405
645	2556	1401
646	2560	1397
647	2564	1393
648	2568	1389
649	2571	1384
650	2575	1380
651	2579	1376
652	2583	1372
653	2587	1368
654	2590	1364
655	2594	1360
656	2598	1356
657	2602	1352
658	2606	1348
659	2610	1344
660	2614	1340
661	2618	1337
662	2622	1333
663	2626	1329
664	2631	1325
665	2635	1321
666	2640	1318
667	2644	1314
668	2649	1310
669	2653	1306
670	2657	1302
671	2661	1299
672	2665	1295
673	2670	1291
674	2674	1287
675	2678	1283
